customer_id,Recency,Frequency,Monetary,total_quantity,avg_price,avg_rating,total_reviews,unique_categories,avg_order_value,max_single_spend,purchase_days,weekend_purchases,engagement_score,loyalty_index,cluster,dbscan_cluster,segment_name
1000,75,1,488.13,1,488.13,1.8,3840,1,488.13,488.13,1,0,14.856278451022629,0.013157894736842105,1,0,Occasional Buyers
1001,462,3,1290.72,5,243.72666666666666,2.433333333333333,10696,3,430.24,839.31,3,0,22.575781944444916,0.0064794816414686825,0,-1,High-Value Customers
1004,308,2,1435.01,5,351.4,4.75,4650,2,717.505,976.28,2,0,40.11297826381446,0.006472491909385114,0,-1,High-Value Customers
1007,31,1,8.88,1,8.88,4.5,1321,1,8.88,8.88,1,1,32.34105459185234,0.03125,1,-1,Occasional Buyers
1008,121,2,1468.78,4,367.195,3.1500000000000004,2970,2,734.39,951.26,2,0,25.189459707707215,0.01639344262295082,0,1,High-Value Customers
1009,3,1,99.1,1,99.1,3.4,3879,1,99.1,99.1,1,1,28.096207470898882,0.25,1,-1,Occasional Buyers
1011,38,2,2745.96,8,343.245,1.9,4591,2,1372.98,1391.2,2,2,16.020934782198864,0.05128205128205128,0,-1,High-Value Customers
1013,681,1,255.4,1,255.4,2.1,264,1,255.4,255.4,1,0,11.717432634571066,0.001466275659824047,1,0,Occasional Buyers
1014,593,2,2280.58,7,323.45500000000004,4.15,4953,2,1140.29,1359.4,2,0,35.307995031704614,0.003367003367003367,0,-1,High-Value Customers
1015,231,1,592.84,2,296.42,2.3,2641,1,592.84,592.84,1,0,18.122370415689222,0.004310344827586207,1,0,Occasional Buyers
1016,391,1,245.06,2,122.53,1.7,1605,1,245.06,245.06,1,0,12.548553220661402,0.002551020408163265,1,0,Occasional Buyers
1017,369,1,518.22,3,172.74,3.3,2644,1,518.22,518.22,1,0,26.005406936164917,0.002702702702702703,1,0,Occasional Buyers
1018,158,1,374.28000000000003,3,124.76,4.4,4662,1,374.28000000000003,374.28000000000003,1,1,37.16862290595661,0.006289308176100629,1,2,Occasional Buyers
1019,337,1,178.76,4,44.69,2.9,3510,1,178.76,178.76,1,0,23.674602910888453,0.0029585798816568047,1,0,Occasional Buyers
1020,686,2,2173.75,5,426.185,3.55,6411,2,1086.875,1407.03,2,1,31.119039123739523,0.002911208151382824,0,-1,High-Value Customers
1021,412,2,2123.76,5,431.36,4.0,4154,2,1061.88,1194.96,2,0,33.32827082915819,0.004842615012106538,0,-1,High-Value Customers
1022,243,1,1446.57,3,482.19,3.2,4280,1,1446.57,1446.57,1,0,26.758214099663828,0.004098360655737705,1,0,Occasional Buyers
1024,141,1,13.78,2,6.89,3.0,1357,1,13.78,13.78,1,0,21.641304924355925,0.007042253521126761,1,0,Occasional Buyers
1026,405,1,51.46,1,51.46,4.6,3810,1,51.46,51.46,1,0,37.92997574401975,0.0024630541871921183,1,0,Occasional Buyers
1027,567,2,1250.02,7,172.75,4.35,2278,2,625.01,854.08,2,1,33.63199032721872,0.0035211267605633804,0,-1,High-Value Customers
1028,108,1,411.98,1,411.98,3.2,523,1,411.98,411.98,1,1,20.036773389827335,0.009174311926605505,1,7,Occasional Buyers
1032,417,2,2292.48,7,310.935,3.2,4621,2,1146.24,1707.48,2,1,27.003464930669846,0.004784688995215311,0,-1,High-Value Customers
1034,202,2,2042.87,5,303.025,2.4000000000000004,6424,2,1021.435,1915.76,2,0,21.04308458343221,0.009852216748768473,0,6,High-Value Customers
1035,339,2,450.76,2,225.38,3.7,5782,2,225.38,376.83,2,2,32.05190807518541,0.0058823529411764705,1,-1,Occasional Buyers
1036,171,3,1838.1100000000001,7,276.10333333333335,3.8333333333333335,5507,3,612.7033333333334,1292.92,3,2,33.02016796275276,0.01744186046511628,0,-1,High-Value Customers
1037,410,1,1493.22,3,497.74,1.2,3624,1,1493.22,1493.22,1,1,9.83473148074653,0.0024330900243309003,1,-1,Occasional Buyers
